Chr	GeneID	Start	Stop	CodingLength	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10
chr12	PLXNC1	94542499	94701451	7589	66	34	116	54	36	72	42	86	82	46
chr12	PMCH	102590237	102591614	757	30	16	30	26	16	14	34	8	8	16
chr12	PMEL	56347889	56360496	2202	332	282	352	214	326	298	340	278	260	330
chr12	POC1B	89813498	89920039	3622	1744	1300	2052	1418	1334	1540	1588	1580	1612	1258
chr12	POC1B-GALNT4	89913190	89920039	5495	8	0	12	10	2	4	2	8	16	0
chr12	POLE	133200348	133263945	7840	12826	11580	14544	8662	11894	10088	12526	11642	11438	11050
chr12	POLR3B	106751436	106903976	4414	1276	998	1596	1118	1382	1194	1146	1194	1222	1260
chr12	POP5	121016848	121019201	801	1578	2026	1942	1230	3558	1494	3096	1344	1350	3258
chr12	POU6F1	51580719	51611477	5301	552	734	704	402	910	480	892	502	514	846
chr12	PPFIA2	81652045	82153109	6277	0	0	2	0	0	0	0	0	0	0
chr12	PPFIBP1	27677045	27848497	6170	12800	5640	16356	10654	5132	11514	5652	12458	11306	4596
chr12	PPHLN1	42719947	42842422	4585	4932	4322	5836	3956	5256	4406	5288	4372	4388	4546
chr12	PPM1H	63037763	63328665	6200	4302	2388	4874	2918	2720	3718	2892	3392	3410	2706
chr12	PPP1CC	111157613	111180783	2511	17918	13160	21132	14974	17336	15862	16054	15786	15438	14510
chr12	PPP1R12A	80167343	80329235	5944	10818	5328	12418	8118	4890	9452	5584	9784	9806	4862
chr12	PPP1R1A	54973024	54982443	1834	2	2	2	0	4	0	0	0	0	2
chr12	PPTC7	110972237	111021064	3748	3632	1550	4336	3166	946	2880	1352	3382	3208	816
chr12	PRB1	11504757	11508524	1173	0	2	2	0	0	0	0	0	0	0
chr12	PRB2	11544474	11548498	1428	4	0	0	0	0	2	0	0	0	0
chr12	PRB4	11460015	11463366	915	0	0	0	0	0	0	0	0	2	2
chr12	PRDM4	108126643	108154914	4187	4372	3270	5052	3042	3442	3872	3592	3836	3610	3318
chr12	PRH1	11033560	11036874	673	6	4	6	2	8	2	0	6	2	6
chr12	PRH1-PRR4	10998448	11324224	1582	132	116	156	150	124	134	128	130	166	146
chr12	PRH2	11081834	11087444	4323	32	16	32	18	34	32	12	26	20	24
chr12	PRICKLE1	42852140	42983572	4798	822	516	916	642	674	716	802	766	846	556
chr12	PRIM1	57125364	57146146	1462	2966	3054	3582	2330	3880	2706	4140	2766	2538	3570
chr12	PRKAB1	120105761	120119429	2401	3238	3448	3760	2112	4590	2676	5130	2670	2340	4360
chr12	PRKAG1	49396055	49412629	1964	3720	3882	4394	2848	5008	3252	5212	3110	3200	4838
chr12	PRMT8	3490515	3703138	3803	2	0	2	0	0	2	0	0	0	4
chr12	PRPF40B	50017403	50038449	3705	600	634	746	384	1030	416	780	478	580	892
chr12	PRPH	49688909	49692481	1833	66	108	74	74	90	42	88	40	58	76
chr12	PRR13	53835433	53840427	1195	8612	10608	9934	6514	17832	7638	14860	7454	7412	16348
chr12	PRR4	10998448	11002075	564	0	4	12	2	4	4	4	8	2	2
chr12	PSMD9	122326646	122355771	2343	4022	4576	4698	3056	7700	3492	6586	3612	3522	7080
chr12	PTGES3	57057125	57082078	1916	39844	35176	46046	32304	44776	34440	45628	35528	33768	41400
chr12	PTHLH	28111017	28124916	2639	2	6	10	12	6	2	4	4	4	2
chr12	PTMS	6875541	6880118	1150	23346	31516	27446	15754	60062	21690	49058	20758	20386	56078
chr12	PTPN11	112856536	112947717	6283	21670	10982	25352	16546	8982	18994	10474	19770	18890	8030
chr12	PTPN6	7055740	7070479	2552	298	312	266	154	382	224	406	308	194	368
chr12	PTPRB	70910632	71031220	11414	8358	3644	9852	5572	4470	6892	4258	7308	7380	3790
chr12	PTPRO	15475191	15751265	7636	14	6	8	8	2	6	8	6	4	10
chr12	PTPRQ	80838126	81073968	7550	92	24	50	50	22	66	28	60	68	12
chr12	PTPRR	71031853	71314584	4072	40	16	76	60	62	76	42	56	44	20
chr12	PUS1	132413745	132428406	2082	2390	3220	2848	2142	5180	2222	4212	2562	2242	4376
chr12	PUS7L	44122412	44152596	4397	1802	692	2218	1466	590	1692	634	1810	1806	508
chr12	PWP1	108079590	108106257	1853	6542	5902	7474	5616	8070	5874	7210	6118	5950	7084
chr12	PXMP2	133264192	133281577	957	1576	2188	1728	980	3816	1310	3542	1324	1460	3956
chr12	PXN	120648242	120703574	4216	23438	24468	27898	17662	34034	20014	31970	21290	20958	31346
chr12	PYROXD1	21590538	21624182	4124	794	524	904	670	726	678	728	744	762	626
chr12	PZP	9301436	9360966	4610	2	0	0	0	2	0	2	2	2	6
chr12	R3HDM2	57647548	57704246	3974	3276	3132	3834	2166	2346	2844	3642	2684	2570	2458
chr12	RAB21	72148658	72181150	2627	4374	3120	5142	3392	3608	3772	3676	4230	4030	3436
chr12	RAB35	120532899	120554643	2945	8812	9772	10480	6540	14142	7580	13782	8232	7928	13008
chr12	RAB3IP	70132631	70216984	10025	2278	1686	2528	1530	1968	1926	2332	1836	1960	1824
chr12	RAB5B	56367697	56390467	5428	13532	10806	15538	8900	12254	11892	14080	11232	10964	12808
chr12	RACGAP1	50382945	50419307	3459	15364	12680	18184	11252	12608	14038	14580	13788	12956	11888
chr12	RACGAP1P	45456401	45459194	2794	8	10	20	16	2	16	6	20	16	4
chr12	RAD51AP1	4647950	4669213	2269	6824	4790	7852	5226	5170	5930	5858	5744	5938	4772
chr12	RAD52	1021255	1058863	2673	636	736	776	544	946	606	722	592	616	826
chr12	RAD9B	110940005	110969891	1885	82	72	84	88	46	82	60	70	78	68
chr12	RAN	131356617	131360826	1071	33774	34966	41710	28204	49880	30802	45576	31542	30526	46990
chr12	RAP1B	69004619	69054385	2151	18116	12826	21192	15074	17838	16278	16344	16202	16364	15994
chr12	RAPGEF3	48128453	48152889	6602	1988	1986	2146	1208	2626	1406	2820	1536	1832	2504
chr12	RARG	53604350	53626040	3431	1274	1362	1500	954	2104	1062	1734	1074	1084	1898
chr12	RASAL1	113536624	113574044	4002	16	12	16	4	16	6	16	6	12	14
chr12	RASSF3	65004293	65091347	3492	9854	6472	11160	7384	7208	8858	7554	8710	8650	6460
chr12	RASSF8	26111964	26232825	7068	6416	3200	7766	6162	3364	5500	3120	6312	7162	2880
chr12	RASSF9	86198331	86230318	1796	8	2	8	0	0	0	4	4	4	2
chr12	RBM19	114254543	114404176	5646	4044	4096	4550	3116	5136	3468	4824	3844	3552	4720
chr12	RBMS2	56915609	56989980	8486	25598	13356	30090	16046	13754	22408	16142	21636	20566	13002
chr12	RBP5	7276280	7281466	940	84	58	88	54	46	84	56	96	92	44
chr12	RDH16	57345216	57351418	1723	6	8	10	4	14	12	20	4	10	14
chr12	RDH5	56114151	56118526	1342	38	34	36	24	14	22	36	38	46	48
chr12	RECQL	21621844	21654603	3779	10076	4542	11622	7472	2936	8408	4420	8838	9142	2536
chr12	REP15	27849428	27850566	1139	118	96	132	100	132	104	102	92	80	114
chr12	RERG	15260716	15374411	2325	24	14	32	24	14	16	32	16	8	8
chr12	RFC5	118454506	118470042	2473	4418	4048	5292	3554	5178	3816	4852	4066	3944	4452
chr12	RFX4	106976685	107156582	4377	2	0	2	4	0	2	0	0	0	0
chr12	RHEBL1	49458468	49463775	1177	1094	1240	1408	708	1902	984	1770	866	1000	1978
chr12	RHOF	122215660	122231594	2435	160	120	206	128	212	160	188	176	208	210
chr12	RIC8B	107168399	107283094	4989	1682	1142	1892	1242	1458	1320	1410	1490	1374	1214
chr12	RILPL1	123955909	124018265	2624	1168	1504	1380	852	1908	964	1874	1022	1014	1834
chr12	RILPL2	123899936	123921264	1435	1842	1912	1974	1226	3554	1462	2616	1466	1540	3522
chr12	RIMBP2	130880681	131002410	6322	2	0	2	0	0	2	0	0	0	0
chr12	RIMKLB	8850518	8929787	5830	5380	2752	5676	3928	2664	4246	2622	4708	5262	2468
chr12	RMST	97858799	97927544	2099	0	0	0	0	0	0	0	0	0	0
chr12	RND1	49250916	49259653	1665	194	148	244	148	206	192	166	228	226	184
chr12	RNF10	120972132	121015397	3847	12674	13344	14346	8484	18338	10954	18202	10790	10596	17100
chr12	RNF34	121837902	121862155	2075	3424	3312	4098	2448	4936	3032	3882	3068	3030	4290
chr12	RNF41	56596288	56615753	5712	5014	4562	6132	3848	5386	4626	5356	4318	4494	5342
chr12	RNFT2	117176096	117291436	2898	212	226	282	142	354	160	398	190	128	374
chr12	RNY5	45580874	45581252	46	0	0	2	0	0	0	0	0	4	0
chr12	RPAP3	48055715	48099844	3687	4118	2764	4480	3274	3412	3398	3492	3384	3298	2864
chr12	RPH3A	113229549	113336684	4592	2	2	2	2	0	0	0	0	2	0
chr12	RPL41	56510374	56511616	584	54696	71888	68550	43300	130110	50188	105346	50244	49968	121940
chr12	RPL6	112842994	112847443	1130	51488	63442	62080	42260	105332	45312	85172	47166	45976	98076
chr12	RPLP0	120634503	120639014	1264	83694	107612	100870	62908	179540	71126	149278	73942	73794	169930
chr12	RPS26	56435686	56438007	682	6518	7414	8068	5662	13620	6338	10358	6416	6096	12140
chr12	RSRC2	122989190	123011560	2452	6592	5686	7690	4934	7540	5520	7066	5794	5732	6682
chr12	SARNP	56146247	56211540	1308	6876	7686	8412	5506	13516	6476	11332	6080	5910	13132
chr12	SART3	108915991	108955165	4370	7588	6710	8976	5560	7224	6476	7962	6862	6098	6788
chr12	SBNO1	123773656	123834988	10981	8252	4936	9976	6516	4812	7376	5514	7742	7334	4174
chr12	SCAF11	46312914	46384401	7596	15016	7482	18248	11318	6672	13370	7786	13392	13336	6182
chr12	SCARB1	125262174	125348519	2742	6156	5940	7766	5058	7678	5650	7446	6304	5584	7090
chr12	SCN8A	51985020	52206648	11556	110	78	124	66	24	94	54	64	84	40
chr12	SCNN1A	6456009	6486523	3822	762	656	904	406	910	680	1000	614	616	794
chr12	SCYL2	100661549	100733914	3804	5522	2760	6670	4432	2178	5072	2690	4966	4846	1752
chr12	SDR9C7	57316938	57328189	1765	2	4	4	0	2	0	4	2	0	0
chr12	SDS	113830251	113841692	1604	6	2	8	2	2	4	10	6	8	12
chr12	SDSL	113860216	113876081	1397	304	524	440	236	664	294	740	328	308	802
chr12	SELPLG	109015680	109027670	2784	30	34	28	38	58	20	34	24	32	46
chr12	SENP1	48436757	48499641	4726	4202	2832	4878	3366	3172	3888	3268	3576	3546	2914
chr12	SETD1B	122242638	122270562	8195	3916	3988	4728	2608	3698	3160	3898	3630	3286	3440
chr12	SETD8	123868704	123893900	2751	4932	5570	5784	3952	7038	4250	6652	4414	4602	6532
chr12	SFSWAP	132195635	132284282	3245	4852	5188	5462	3432	6014	4272	6310	4218	3822	5766
chr12	SH2B3	111843752	111889427	5406	16418	10472	18902	11480	12240	13608	12930	13812	14402	10570
chr12	SHMT2	57623356	57628718	2856	7010	9352	8696	5634	12360	6172	11248	6990	6400	11706
chr12	SIRT4	120740124	120751045	1210	38	42	66	40	94	30	56	28	38	108
chr12	SKP1P2	17141681	17143562	1882	20	56	54	22	32	22	60	46	36	38
chr12	SLC11A2	51373566	51422058	6805	3906	2622	4566	3042	2654	3446	3134	3586	3792	2388
chr12	SLC15A4	129277739	129308541	2789	3006	2372	3554	2370	3342	2662	3214	2566	2656	2990
chr12	SLC15A5	16341419	16430619	2923	4	8	8	0	0	8	0	0	2	0
chr12	SLC16A7	60083126	60175408	3541	6	4	8	2	2	2	0	4	0	0
chr12	SLC17A8	100750857	100815837	3983	4	0	0	0	0	0	0	0	2	4
chr12	SLC24A6	113736571	113772925	2976	2506	3190	3056	1938	4422	2142	4188	2476	2378	4428
chr12	SLC25A3	98987403	98995778	2037	30464	31282	36120	24310	51854	27160	43066	27742	27664	47254
chr12	SLC26A10	58013693	58019934	2409	30	8	36	8	14	36	22	38	24	8
chr12	SLC2A13	40148823	40499661	7003	450	172	468	282	148	328	172	356	308	132
chr12	SLC2A14	7966397	8025495	2195	10	2	12	2	2	12	6	4	10	0
chr12	SLC2A3	8071824	8088892	3938	756	634	900	590	856	680	810	718	554	814
chr12	SLC35E3	69139936	69159853	2347	2110	1600	2286	1468	2102	1682	2074	1804	1754	1942
chr12	SLC38A1	46576841	46663208	8484	26320	13452	31910	21312	12602	23278	13102	26160	25316	11256
chr12	SLC38A2	46751971	46766645	4884	67332	33888	76270	49662	34062	59106	35502	58962	66042	31132
chr12	SLC38A4	47158544	47219780	3983	222	116	262	166	60	236	94	252	210	82
chr12	SLC39A5	56623820	56631629	2108	30	22	28	40	44	22	30	22	42	26
chr12	SLC41A2	105197275	105322472	3544	1362	598	1706	920	806	1282	594	1252	1142	564
chr12	SLC48A1	48166967	48176536	3034	1932	2642	2320	1522	3582	1754	3704	1788	1688	3588
chr12	SLC4A8	51818594	51902980	5960	274	166	276	208	130	202	128	210	244	126
chr12	SLC5A8	101549994	101604016	3286	0	0	0	0	0	0	2	0	0	0
chr12	SLC6A12	299243	323371	3971	4	0	6	4	6	6	18	2	2	0
chr12	SLC6A13	329787	372039	3088	14	12	12	10	6	10	12	12	6	6
chr12	SLC6A15	85253267	85306608	7841	2480	1508	2922	1890	1618	2222	1716	2158	2346	1472
chr12	SLCO1A2	21417534	21548371	7871	2	4	18	10	10	12	10	12	30	0
chr12	SLCO1B3	20963638	21069843	3012	0	0	0	0	4	0	0	0	0	0
chr12	SLCO1C1	20848289	20906320	3578	0	0	2	2	0	2	0	4	4	0
chr12	SMAGP	51639133	51664202	1239	846	1058	1150	892	1670	696	1504	840	790	1604
chr12	SMARCC2	56555636	56583351	5681	13206	11812	15000	8616	11866	10908	14332	10790	10930	11898
chr12	SMARCD1	50478983	50494494	3429	8910	8714	10730	6458	10468	7688	10622	8032	7806	9654
chr12	SMUG1	54574142	54582778	3017	914	1132	1130	722	1916	768	1574	794	832	1834
chr12	SNORD59B	57037464	57037538	75	16	0	6	4	2	6	4	10	10	4
chr12	SNRNP35	123942651	123950941	1032	1104	1296	1270	714	2292	998	2016	1012	914	2184
chr12	SNRPF	96252709	96260238	793	4792	5868	5946	3952	10784	4360	8600	4526	4550	9782
chr12	SOAT2	53497274	53518323	2073	0	2	4	2	4	0	0	0	0	2
chr12	SOCS2	93963598	93969978	2210	218	236	266	200	414	216	390	226	228	426
chr12	SOX5	23685231	24715380	4714	0	0	2	2	0	0	0	0	0	0
chr12	SP1	53773979	53810226	7698	10212	6304	12534	7530	6294	8902	6886	9236	8840	5976
chr12	SP7	53720360	53730004	3048	0	4	2	2	8	4	2	2	6	2
chr12	SPATS2	49760688	49921207	3796	7886	6390	8980	5858	7516	6642	7806	6772	6478	6762
chr12	SPPL3	121200313	121342155	4129	5288	5132	5934	3680	6940	4400	6954	4650	4186	6846
chr12	SPRYD3	53458100	53473204	2932	2648	3014	3054	2060	3750	2330	3520	2540	2334	3574
chr12	SPRYD4	56862301	56864767	2105	988	1074	1160	778	1852	784	1690	862	932	1806
chr12	SPSB2	6980100	6982521	1287	522	816	560	350	1402	456	1052	426	414	1296
chr12	SRGAP1	64238541	64541613	8475	2844	1772	3326	2394	1474	2540	1486	2730	2480	1302
chr12	SRRM4	119419300	119600856	8477	14	2	6	2	6	4	18	8	4	12
chr12	SRSF9	120899471	120907558	1163	7190	7822	8500	5244	12026	6196	11070	6602	6610	11350
chr12	SSH1	109176466	109251359	9191	13036	6944	14110	8926	6142	12068	6902	11786	12580	5250
chr12	SSPN	26348269	26387708	4727	120	80	120	86	62	88	94	126	106	68
chr12	ST8SIA1	22346325	22487648	9714	60	68	78	58	42	46	52	76	70	36
chr12	STAB2	103981069	104160502	8230	12	14	14	16	24	6	30	12	16	40
chr12	STAC3	57637242	57644969	1643	28	48	60	32	54	28	62	46	32	64
chr12	STAT2	56735382	56754037	4550	11412	8910	12008	5706	9290	9516	12070	9080	8428	8798
chr12	STAT6	57489187	57505196	4267	11926	11376	14140	8376	12750	10294	14232	10370	10138	12088
chr12	STK38L	27397078	27478890	5096	4004	2046	4220	2874	2506	3552	2222	3034	3750	2206
chr12	STRAP	16035288	16056410	1905	17084	14868	19494	13714	19168	14690	18082	15078	14836	18218
chr12	STX2	131274145	131323819	3465	5370	3976	6306	3986	4262	4878	4610	4872	4922	4082
chr12	STYK1	10771538	10826891	2995	260	148	242	154	190	164	190	182	186	206
chr12	SUDS3	118814358	118855840	4728	3632	3162	4258	2648	3098	3106	3580	3106	3218	2580
chr12	SUOX	56391043	56399309	2462	1332	1626	1562	868	2080	1140	2070	1284	1114	1988
chr12	SVOP	109304658	109458845	3313	24	18	18	24	36	24	30	24	16	40
chr12	SYCP3	102122426	102133250	1129	68	76	50	28	146	62	86	46	58	120
chr12	SYT1	79257773	79845788	5327	472	204	542	308	132	374	334	386	380	180
chr12	SYT10	33528348	33592754	3286	0	0	0	0	0	0	0	0	0	0
chr12	TAC3	57403781	57410344	955	14	2	12	4	2	2	16	6	8	4
chr12	TAOK3	118587606	118810750	4384	5616	3534	6682	4334	3458	4662	3844	5078	4978	3030
chr12	TAPBPL	6561177	6571488	1818	712	758	730	418	1286	626	1072	606	524	1180
chr12	TARBP2	53894705	53900215	1988	1802	2348	2054	1302	3740	1542	3148	1658	1558	3708
chr12	TAS2R10	10977945	10978868	924	4	4	4	2	4	6	4	8	14	2
chr12	TAS2R13	11060525	11062161	1637	6	0	10	6	0	2	2	8	8	0
chr12	TAS2R14	11090853	11091806	954	58	40	54	58	36	48	42	40	54	42
chr12	TAS2R19	11174271	11175170	900	24	4	8	18	20	16	8	18	18	14
chr12	TAS2R20	11148561	11150474	1914	60	76	68	56	178	52	122	38	56	170
chr12	TAS2R30	11285884	11286843	960	2	4	4	6	4	6	0	10	10	0
chr12	TAS2R31	11182986	11184006	1021	16	10	20	6	10	12	4	14	24	10
chr12	TAS2R42	11338599	11339543	945	2	0	0	2	0	0	0	2	0	0
chr12	TAS2R43	11243886	11244912	1027	2	4	2	10	0	4	0	2	2	6
chr12	TAS2R46	11213964	11214893	930	2	2	4	2	2	4	4	4	18	2
chr12	TAS2R50	11138512	11139511	1000	6	4	10	2	0	6	2	8	12	4
chr12	TAS2R7	10954131	10955226	1096	2	0	0	0	0	0	0	0	0	0
chr12	TAS2R8	10958650	10959579	930	2	0	0	0	0	0	0	0	0	0
chr12	TBC1D15	72233487	72320629	5888	6218	4160	6988	4164	5220	5216	5238	4952	4910	4880
chr12	TBC1D30	65218352	65274798	7824	438	372	452	316	474	324	428	306	404	418
chr12	TBK1	64845840	64895899	3087	5972	3860	6952	4450	3792	5206	4710	5444	5108	3712
chr12	TBX3	115108059	115121969	4783	1816	1734	2116	1644	2218	1456	1694	1648	1936	1692
chr12	TBX5	114791735	114846247	4351	0	0	0	0	0	2	2	0	4	0
chr12	TCHP	110338079	110355874	3310	2594	2302	2886	2088	2498	2174	2644	2070	2058	2314
chr12	TCP11L2	106696581	106740792	2218	300	206	410	230	170	316	186	238	322	150
chr12	TCTN1	111051832	111086935	2229	544	542	704	406	616	446	678	546	462	600
chr12	TCTN2	124155660	124192950	2912	1738	1672	2144	1170	1880	1538	2132	1486	1504	2098
chr12	TDG	104359593	104382656	3244	4716	2824	5586	4064	3054	4394	3184	4366	4252	2574
chr12	TEAD4	3068478	3149842	2161	4440	5404	5150	3500	8938	3782	7310	4412	3830	8452
chr12	TENC1	53440810	53458162	5199	11212	13502	12742	6714	16728	8750	17346	9148	9292	16224
chr12	TESC	117476728	117537251	1024	2	2	4	0	0	6	14	0	4	2
chr12	TFCP2	51487539	51566926	3715	3920	3574	4874	3074	4040	3470	4378	3584	3218	3790
chr12	THAP2	72057677	72074428	4840	238	164	274	178	266	202	216	136	212	208
chr12	TIMELESS	56810157	56843200	5138	11598	10284	12834	7732	12006	9632	12638	9498	9626	11172
chr12	TM7SF3	27124506	27167339	4343	6828	5370	7640	4484	6184	5736	6884	5632	5696	6298
chr12	TMBIM4	66530717	66563807	1816	3872	3950	4400	2674	5984	3236	5072	3250	3056	5586
chr12	TMBIM6	50135293	50158717	3356	69748	57392	81756	51504	78006	60784	74378	58110	57750	71622
chr12	TMCC3	94960900	95044324	5863	782	822	942	626	956	612	764	658	650	778
chr12	TMED2	124069076	124082688	2126	24342	18352	28656	18916	22790	21690	23454	21536	21310	20750
chr12	TMEM106C	48357330	48362661	1588	7864	8848	9100	5426	12996	6626	12102	6282	6530	12448
chr12	TMEM116	112369087	112451023	1603	250	198	280	166	264	174	250	254	220	256
chr12	TMEM117	44229962	44783541	2697	6	2	8	12	14	6	8	2	22	8
chr12	TMEM119	108983622	108991894	2701	16	14	104	14	16	12	24	20	10	28
chr12	TMEM120B	122150658	122219974	7510	2196	2634	2530	1582	4216	1842	3324	2042	2076	3304
chr12	TMEM132B	125811162	126143589	7578	8	4	6	4	2	2	2	2	0	0
chr12	TMEM132C	128751948	129192460	4947	0	0	0	0	0	2	2	0	0	0
chr12	TMEM132D	129556271	130388212	5777	0	0	0	0	0	0	0	0	0	0
chr12	TMEM19	72079878	72097839	4658	3054	2348	3660	2190	2850	2870	2976	2504	2514	2802
chr12	TMEM194A	57449426	57472574	5617	11496	6394	13204	7938	5980	9780	7106	9826	9774	6062
chr12	TMEM233	120031264	120079363	1573	0	6	2	0	2	0	4	0	0	2
chr12	TMEM5	64173637	64202887	1451	770	626	848	644	914	572	852	660	650	844
chr12	TMPO	98909351	98944157	6993	34654	22384	39090	24416	23000	30626	26844	29366	28574	21814
chr12	TMPRSS12	51236701	51281663	1461	0	0	2	0	0	0	0	0	0	0
chr12	TMTC1	29653746	29937692	9193	10474	5506	12166	7580	5394	9004	6100	9030	9206	5308
chr12	TMTC2	83080934	83528067	4842	214	104	266	122	78	152	132	160	178	58
chr12	TMTC3	88536073	88593664	7203	7678	3360	9016	6022	3768	6840	3594	6984	7084	3152
chr12	TNFRSF1A	6437923	6451283	2226	12280	13328	14564	8690	22792	10448	18326	11216	10468	19806
chr12	TPCN1	113659260	113736389	5349	3262	3384	3798	2138	2830	2908	3884	2918	2930	2642
chr12	TPH2	72332626	72426221	2360	0	0	0	0	0	0	0	0	0	0
chr12	TPI1	6976584	6980110	1856	42326	49864	50170	31756	78692	36912	67792	38438	36732	72680
chr12	TRAFD1	112563349	112591408	3179	3536	3456	4300	2550	4732	3156	4602	3272	3022	4270
chr12	TRHDE	72666529	73059422	5552	2	4	10	0	0	0	0	4	4	0
chr12	TRIAP1	120881764	120884215	1182	2582	2666	3018	2050	4382	2312	3732	2382	2316	3928
chr12	TROAP	49716971	49725514	2852	5600	7638	6252	3724	10808	4454	10038	4660	4586	10458
chr12	TRPV4	110220892	110271212	3239	258	322	294	182	370	236	410	270	240	384
chr12	TSFM	58176528	58196639	2404	2710	2850	3154	2140	4818	2410	4048	2646	2438	4524
chr12	TSPAN11	31079838	31149537	5562	16	24	38	28	26	20	22	36	26	26
chr12	TSPAN19	85408094	85430055	1020	6	14	8	6	12	0	10	4	8	8
chr12	TSPAN31	58138784	58142026	1740	1564	1504	1834	1186	1826	1392	2048	1364	1292	1790
chr12	TSPAN8	71518877	71551779	1130	2	0	0	0	0	0	0	0	0	4
chr12	TSPAN9	3186521	3395730	4351	7052	7922	8810	4778	12558	6144	10928	6032	5932	11130
chr12	TUBA1A	49578583	49582861	1665	4508	5002	5460	3292	7572	4018	7404	3804	4108	8488
chr12	TUBA1B	49521567	49525304	1751	31610	39434	38592	23656	57476	28602	55268	31084	28722	59796
chr12	TUBA1C	49658865	49667113	1553	14318	18208	17150	11050	29078	12442	24438	13660	12806	25604
chr12	TULP3	3000033	3050306	3106	3706	3058	4592	2682	3116	3218	3434	3308	3064	2958
chr12	TWF1	44187526	44200178	3066	12528	7804	14474	10088	8818	11026	9040	11336	11134	7572
chr12	TXNRD1	104609559	104744062	4233	106464	72802	127144	88182	91518	98982	77712	92892	98720	76588
chr12	UBC	125396192	125399587	2584	94496	95450	115092	62904	102346	85620	121510	81578	79128	101206
chr12	UBE2N	93802088	93836026	2552	7992	7158	9314	6578	10054	7010	9106	7186	7196	9000
chr12	UBE3B	109915439	109974507	5730	5670	4476	6456	3760	3992	4754	5024	4984	4594	4116
chr12	UHRF1BP1L	100430863	100536642	5437	3436	1714	3942	2558	1542	2902	1690	3192	2980	1618
chr12	ULK1	132379279	132407707	5222	2876	3722	3242	1824	4120	2352	4828	2408	2500	4576
chr12	UNC119B	121147831	121161443	4811	3434	2532	3880	2564	2660	3006	3168	2782	2846	2278
chr12	UNG	109535399	109548798	2366	6468	6002	7814	4896	7912	5708	7894	5624	5548	7744
chr12	USP15	62654121	62803501	9895	5718	3966	7004	4954	4796	4992	4532	5148	5286	4232
chr12	USP30	109490380	109525831	3753	1012	1004	1270	676	926	854	1174	848	874	886
chr12	USP44	95910888	95945263	3541	106	42	100	56	52	62	94	48	76	46
chr12	USP5	6961285	6975795	3190	10540	11950	12298	7140	14268	9084	14660	9012	8846	13876
chr12	UTP20	101673905	101780397	9010	8828	4754	10866	7740	4834	7846	4764	8772	7812	4212
chr12	VAMP1	6571404	6579843	3138	1242	1230	1352	886	1946	946	1702	994	1248	1776
chr12	VDR	48235320	48298814	5166	722	466	722	376	422	640	662	590	590	402
chr12	VEZT	95611522	95696566	4647	6926	4802	7950	5258	5128	6398	5650	6084	6146	4986
chr12	VPS29	110929330	110939916	1101	6706	6772	8006	5392	10344	6216	9548	5870	6222	9600
chr12	VPS33A	122716094	122751068	2603	3866	3076	4548	2828	3976	3286	4114	3548	3448	3810
chr12	VPS37B	123349875	123380712	2749	3244	3982	3946	2780	5312	3000	5242	3238	3352	4978
chr12	VSIG10	118501398	118541810	5003	3132	2524	3644	2248	2944	2676	3202	2586	2608	3062
chr12	VWF	6058040	6233836	8833	63894	56560	73158	38104	65358	46010	80114	43410	50888	66082
chr12	WBP11	14939412	14956401	2674	11436	10264	13430	8346	12214	9892	12734	10336	9696	11236
chr12	WDR66	122356463	122441832	4295	118	88	124	86	80	94	104	138	106	86
chr12	WIBG	56295197	56321697	1276	1298	1678	1626	924	2954	1092	2346	1146	1112	2658
chr12	WIF1	65444404	65515346	2240	8	6	2	6	2	0	8	8	4	0
chr12	WNK1	862089	1020618	11946	25482	12242	30572	18672	10208	22072	11320	23030	21354	9082
chr12	WNT1	49372236	49376396	2284	2	2	2	0	4	8	6	2	8	2
chr12	WNT10B	49359123	49365641	2369	42	42	50	8	42	34	36	40	26	22
chr12	WNT5B	1726222	1756378	2311	852	818	928	642	1504	748	1076	802	670	1150
chr12	WSB2	118470492	118498951	2822	6140	5000	7058	4134	6888	5404	6494	5496	5474	6572
chr12	WSCD2	108523511	108644313	4635	2	0	4	0	2	0	0	2	0	0
chr12	XPOT	64798153	64842463	3947	12222	8306	15156	10656	8058	10906	8440	11622	11540	7038
chr12	XRCC6BP1	58335445	58351052	1160	302	314	320	212	456	246	428	218	248	384
chr12	YAF2	42550907	42632154	9145	1840	1294	1930	1332	1650	1496	1610	1512	1550	1492
chr12	YARS2	32899478	32908887	2173	2272	2152	2782	1634	3316	1954	2838	2076	2022	2904
chr12	YEATS4	69753532	69784576	1385	2666	2162	3148	2062	2716	2498	2950	2436	2304	2672
chr12	ZBTB39	57392617	57400297	6238	1508	1134	1954	1252	878	1402	1062	1504	1260	862
chr12	ZC3H10	56512030	56516278	2121	520	750	634	332	1244	444	848	430	450	986
chr12	ZCCHC8	122956146	122985543	4178	3668	3192	4366	3026	3598	3036	3654	3246	3068	3616
chr12	ZCRB1	42705888	42719932	1844	4034	3696	4564	3042	5736	3392	4854	3456	3340	5018
chr12	ZDHHC17	77157854	77247474	4771	3914	2140	4282	2898	2046	3246	2478	3462	3628	1744
chr12	ZFC3H1	72003379	72057749	7158	3496	1876	3754	2524	2456	2628	2008	2824	3228	2346
chr12	ZNF10	133707214	133736049	4403	598	530	672	420	584	468	490	582	552	512
